user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,is_valid_pan,is_valid_aadhaar
USR78743,Atharvlall,GUHZF2370F,9828-5621-0452,1970-04-22 00:00:00,Jaipur,Rajasthan,18539.0,Self Employed,2024-12-24 00:00:00,PENDING,LOW,True,True
USR59316,Prisha Chander,XHBKR5403M,5349-1036-8969,1994-02-03 00:00:00,Ludhiana,Punjab,13300.0,Unemployed,2026-03-07 00:00:00,VERIFIED,LOW,True,True
USR90387,Aarna Devi,TFWBR0265R,,1988-07-02 00:00:00,Jaipur,Rajasthan,24127.0,Business Owner,2025-12-24 00:00:00,VERIFIED,LOW,True,False
USR18776,Pushti Sha,OGVKP1291Y,,1966-08-08 00:00:00,Hyderabad,Telangana,,Student,2025-09-05 00:00:00,VERIFIED,LOW,True,False
USR13953,Mugdha Thaker,GJIRE9459M,8512-9915-4050,1997-02-11 00:00:00,Amritsar,Punjab,23495.0,Self Employed,2025-04-17 00:00:00,VERIFIED,LOW,True,True
USR33108,Ekavir Bal,CINIP4289D,8661-2790-6399,1979-09-18 10:30:00,Bengaluru,Karnataka,19266.0,Freelancer,2024-03-02 00:00:00,VERIFIED,LOW,True,True
USR71267,Noah Wable,WVMOD0360T,4976-1028-4249,1964-04-14 17:35:56,Bengaluru,Karnataka,20388.0,Student,2025-06-04 00:00:00,VERIFIED,LOW,True,True
USR82470,Owen Nair,DPRST6843S,6455-7889-1743,1972-07-30 00:00:00,Pune,Maharashtra,35891.0,Farmer,2025-06-25 00:00:00,PENDING,MEDIUM,True,True
USR91477,Ojas Kumer,AXMWY7954C,9311-6832-0493,1961-08-03 00:28:00,Ldh,Punjab,28545.0,Unemployed,2026-03-25 00:00:00,VERIFIED,LOW,True,True
USR86614,Vedika Lanka,GFSVQ7146K,4785-4778-9264,1968-12-10 02:43:51,Pune,Maharashtra,37338.0,Student,2024-04-02 00:00:00,VERIFIED,LOW,True,True
USR23635,Tanmayi Sunder,DRXCQ2579G,7963-0636-6826,1994-05-25 00:35:46,Lucknow,Uttar Pradesh,20317.0,Gig Worker,2024-08-08 15:30:14,VERIFIED,MEDIUM,True,True
USR63684,Vasana Naidu,FYYYZ4211T,4139-2819-5585,1974-04-11 00:00:00,Jalandhar,Punjab,39085.0,Freelancer,2025-11-30 20:37:22,VERIFIED,LOW,True,True
USR40151,Lipika Pant,ZCYWL1620R,4596-0750-4259,2004-11-12 14:21:56,Jalandhar,Punjab,13296.0,Student,,VERIFIED,LOW,True,True
USR60198,Nihal Sunder,GMKIH3940L,1672-2212-2123,1992-04-06 11:00:00,Bengaluru,Karnataka,39252.0,Student,2025-07-17 00:00:00,VERIFIED,LOW,True,True
USR77081,Ethan Dora,BZDWK4883M,3943-9408-9450,1963-03-01 19:46:00,Lucknow,Uttar Pradesh,31508.0,Unemployed,2024-10-22 10:15:48,VERIFIED,HIGH,True,True
USR84077,Neelima Sem,DKNSH2914F,8100-8212-3328,1980-12-28 00:00:00,Ludhiana,Punjab,27515.0,Self Employed,2025-06-11 00:00:00,VERIFIED,MEDIUM,True,True
USR59175,Ansh Virk,AMBPC6856J,4006-8334-6413,1972-03-27 20:01:00,Mumbai,Maharashtra,16030.0,Student,2025-02-13 00:00:00,VERIFIED,MEDIUM,True,True
USR64276,Upasna Subramanian,OPVCG1908W,0241-6276-3322,1974-01-09 00:00:00,Lucknow,Uttar Pradesh,19115.0,Farmer,2025-03-24 00:00:00,VERIFIED,UNKNOWN,True,True
USR64768,Warda Bhasin,DJJZS1635L,1378-3344-8545,1964-12-05 05:42:09,Mumbai,Maharashtra,32936.0,Self Employed,2026-02-22 00:00:00,VERIFIED,UNKNOWN,True,True
USR16446,Yagnesh Roy,QPZXB2641,,1997-09-19 00:00:00,Chennai,Tamil Nadu,,Salaried,2025-08-29 00:00:00,VERIFIED,HIGH,False,False
USR22470,Ubika Saraf,GEZXL8319T,3856-9174-6808,1985-04-21 00:00:00,Bengaluru,Karnataka,12941.0,Student,2024-08-27 07:40:00,REJECTED,MEDIUM,True,True
USR78907,Garima Sangha,NTGKP6262I,XXXX-XXXX-3516,1977-09-14 08:11:37,Amritsar,Punjab,14527.0,Salaried,,PENDING,LOW,True,True
USR55616,Jasmit Nadkarni,EGCOO2505G,0738-3587-8098,1993-04-02 00:00:00,Bengaluru,Karnataka,17065.0,Retired,2025-08-22 00:00:00,VERIFIED,LOW,True,True
USR11988,Udarsh Khalsa,RWL1L9015J,0053-7036-9333,1973-09-08 00:00:00,Bengaluru,Karnataka,57849.0,Self Employed,2026-03-10 00:00:00,VERIFIED,LOW,False,True
USR78571,Gautamisanghvi,PXLGX1420K,4973-0699-9651,1977-10-18 00:00:00,Amritsar,Punjab,25062.0,Student,2024-05-20 16:14:00,VERIFIED,LOW,True,True
USR26915,Aarna Deshmukh,VVYMS8300C,4113-7760-8777,2005-09-25 20:20:32,Chennai,Tamil Nadu,23328.0,Unemployed,2024-09-06 00:00:00,VERIFIED,LOW,True,True
USR71883,Amara Oak,OWXKX2821C,6195-0176-3518,1995-09-09 15:52:56,Bengaluru,Karnataka,22743.0,Retired,2025-04-30 00:00:00,REJECTED,MEDIUM,True,True
USR67037,Lucky Konda,CRHRQ9787A,8924-6694-1914,1991-12-26 00:00:00,Lucknow,Uttar Pradesh,18960.0,Business Owner,2024-08-28 09:57:39,VERIFIED,LOW,True,True
USR28669,George Dar,QLRNP1618Y,2178202165,1978-01-04 00:00:00,Mumbay,Maharashtra,24646.0,Self Employed,2024-02-10 17:03:22,REJECTED,MEDIUM,True,False
USR74087,Qarin Sengupta,TGCGN4731B,5079-3360-8333,1987-01-26 00:00:00,Amritsar,Punjab,11942.0,Salaried,2026-01-15 05:56:00,VERIFIED,MEDIUM,True,True
USR97475,Bimala Rao,ZWIEO8960X,5819-7573-4236,1977-04-08 12:26:05,Hyderabad,Telangana,,Farmer,2024-03-26 00:00:00,VERIFIED,LOW,True,True
USR29005,Wazir Ghose,SVTQR6809M,4808-5341-0333,1993-12-19 00:00:00,Delhi,Delhi,14463.0,Student,2024-03-12 00:00:00,VERIFIED,LOW,True,True
USR78059,Vasana Palla,CALNW0586S,7547-4679-8970,1991-04-27 00:00:00,Mumbai,Maharashtra,29828.0,Farmer,2024-11-23 00:00:00,VERIFIED,LOW,True,True
USR15644,Anita Balay,VZJON4073W,1702-0376-5815,1994-05-12 00:00:00,Bengaluru,Karnataka,,Unemployed,2025-11-03 00:00:00,VERIFIED,MEDIUM,True,True
USR53776,Advaith Sur,ORRQC4341P,9368-3347-1186,1980-08-16 00:00:00,Amritsar,Punjab,29723.0,Gig Worker,2024-04-10 00:00:00,PENDING,LOW,True,True
USR35738,Nachiket Saini,MPBCY9061Z,2927-1878-2869,1982-06-19 02:07:43,Ldh,Punjab,9263.0,Retired,2025-04-24 00:00:00,REJECTED,LOW,True,True
USR30688,Pooja Koshy,YVQMB3903Y,3750-1498-0195,,Jaipur,Rajasthan,55299.0,Salaried,2025-05-12 21:33:30,VERIFIED,LOW,True,True
USR43692,Kashvi Bal,XCBFC3495G,0224-5644-9188,1972-08-16 07:05:53,Hyderabad,Telangana,26181.0,Retired,2024-05-30 00:00:00,VERIFIED,LOW,True,True
USR13931,Vrinda Sodhi,JAXKB7158R,2321-0114-5647,1994-10-03 18:26:00,Jalandhar,Punjab,13080.0,Salaried,,VERIFIED,HIGH,True,True
USR16890,Unnipurohit,SRFPG7183S,1288-6468-2279,1997-12-05 00:00:00,Lucknow,Uttar Pradesh,19516.0,Farmer,2024-01-04 12:10:00,VERIFIED,MEDIUM,True,True
USR60800,Benjamin Hayre,SKOEK2388A,XXXX-XXXX-6470,,Jalandhar,Punjab,30797.0,Farmer,2024-03-23 05:13:33,VERIFIED,MEDIUM,True,True
USR43778,Megha Saran,FBYVC9113B,2525-9504-2768,1995-01-26 17:14:51,Ldh,Punjab,27468.0,Student,2024-08-11 00:00:00,VERIFIED,MEDIUM,True,True
USR70695,Darsh Rana,HOHLD1406O,6634-7061-6081,1986-05-13 00:00:00,Bengaluru,Karnataka,32215.0,Business Owner,2024-06-16 00:00:00,REJECTED,LOW,True,True
USR82121,Maanas Kumar,PHLMO0100D,3070-9323-8655,2000-06-15 00:00:00,Mumbai,Maharashtra,50644.0,Student,2024-04-19 00:00:00,VERIFIED,LOW,True,True
USR28535,Laban Sinha,RFMPF5305S,XXXX-XXXX-3078,1998-11-28 15:44:00,Pune,Maharashtra,23001.0,Retired,2024-12-31 23:15:38,PENDING,MEDIUM,True,True
USR61312,Manbir Kar,OYDNZ6406F,5451-2692-1501,2005-03-19 00:00:00,Hyderabad,Telangana,43301.0,Farmer,2025-02-04 00:00:00,REJECTED,LOW,True,True
USR17743,Sneha Palan,HXELE7376C,0120-2408-5465,1986-09-22 00:00:00,Kolkata,West Bengal,30964.0,Student,2025-07-02 00:00:00,VERIFIED,LOW,True,True
USR75869,Triya Sodhi,KUCXN4426K,5985-2349-7392,1999-09-16 00:00:00,Amritsar,Punjab,17400.0,Salaried,2024-11-03 00:00:00,PENDING,MEDIUM,True,True
USR88971,Aahana Goda,KAPYK2586P,8154-3070-8070,1963-08-19 00:00:00,Amritsar,Punjab,8961.0,Student,2025-03-06 04:52:16,VERIFIED,MEDIUM,True,True
USR25394,Urmi Dar,WDKKW7243D,,1983-11-17 00:00:00,Pune,Maharashtra,39353.0,Retired,2025-03-23 00:00:00,VERIFIED,MEDIUM,True,False
USR36110,Bhavya D0Shi,ZZLBX3053J,7749-4636-1922,1979-07-29 00:00:00,Pune,Maharashtra,,Freelancer,2025-11-15 00:00:00,VERIFIED,LOW,True,True
USR28927,Chandran Nori,MIAZT7616U,,1999-12-19 13:49:35,Hyderabad,Telangana,34414.0,Unemployed,2024-11-29 00:00:00,VERIFIED,MEDIUM,True,False
USR12524,Yauvani Deep,QGIWK2792H,2792-9245-2932,1985-01-24 00:00:00,Pune,Maharashtra,34793.0,Unemployed,2024-03-28 12:45:00,PENDING,MEDIUM,True,True
USR87061,Zayyan Parmar,OESTV5644M,4212-4913-5042,1994-03-02 00:00:00,Bengaluru,Karnataka,34016.0,Retired,2024-01-15 00:00:00,REJECTED,LOW,True,True
USR70121,Manan Kala,,4917-3489-3582,2003-05-16 10:59:20,Amritsar,Punjab,12490.0,Gig Worker,2025-04-01 13:18:00,VERIFIED,UNKNOWN,False,True
USR43558,Bhavya Kala,FMZBB8469X,0416-1497-8824,2005-04-29 00:00:00,Kolkata,West Bengal,26339.0,Student,2026-02-25 18:03:00,VERIFIED,UNKNOWN,True,True
USR97255,Hardik Varty,IKVCL9739N,0189-6941-0775,1985-07-09 00:00:00,Bengaluru,Karnataka,,Salaried,2024-08-23 10:00:42,PENDING,LOW,True,True
USR41850,Anamika Jayaraman,ZWSDQ5958Z,3669-9749-7248,2004-11-19 00:00:00,Pune,Maharashtra,22599.0,Unemployed,2024-03-27 02:50:53,VERIFIED,LOW,True,True
USR61425,Rajata Panchal,FDJQL7637C,2524-9231-6041,1987-11-27 00:00:00,Amritsar,Punjab,25830.0,Farmer,2025-02-26 00:00:00,VERIFIED,LOW,True,True
USR11654,Shivansh Dhar,VJCFR9167X,9314952508,1986-03-23 00:00:00,Lucknow,Uttar Pradesh,19879.0,Business Owner,2024-05-02 00:00:00,VERIFIED,LOW,True,False
USR60435,Manan Desai,CZDOZ3023Y,9332847770,1971-11-14 00:00:00,Lucknow,Uttar Pradesh,13100.0,Self Employed,2025-05-20 00:00:00,PENDING,LOW,True,False
USR69566,Pooja Sanghvi,KKXGH7093M,5946-3239-9328,,Mumbai,Maharashtra,40871.0,Gig Worker,2024-01-30 20:55:00,VERIFIED,LOW,True,True
USR97911,Aarush Hora,UJAKN1892R,8898-0010-6898,1974-09-25 00:00:00,Bengaluru,Karnataka,23895.0,Freelancer,2025-09-17 00:00:00,VERIFIED,LOW,True,True
USR96415,Aadi Batta,JYKPY8685U,8012-4990-9011,1975-10-05 00:00:00,Bengaluru,Karnataka,16142.0,Gig Worker,2024-08-20 00:00:00,VERIFIED,MEDIUM,True,True
USR41370,Lajita Mammen,TCFIS9755D,0470-4500-8750,1969-05-19 00:00:00,Ludhiana,Punjab,74744.0,Farmer,2024-04-06 00:00:00,VERIFIED,MEDIUM,True,True
USR46200,Bakhshi Sah0Ta,WALTW7577C,2010-6088-0121,2001-04-10 00:00:00,Hyderabad,Telangana,24694.0,Gig Worker,2024-07-26 00:00:00,VERIFIED,LOW,True,True
USR30125,Dakshesh Dhaliwal,AFYDX3604O,3180-0216-2145,1993-02-05 00:00:00,Jaipur,Rajasthan,22236.0,Business Owner,,REJECTED,LOW,True,False
USR51640,Hitesh Raj,UCIYS7654M,7526190276,1997-12-27 18:30:00,Mumbai,Maharashtra,65510.0,Business Owner,2025-05-07 00:00:00,REJECTED,LOW,True,False
USR26148,Tarak Butala,LSMZC5449O,5947-7399-0154,1988-07-08 00:00:00,Bengaluru,Karnataka,30461.0,Salaried,,VERIFIED,HIGH,True,True
USR72127,Turvi Grover,CQVNW6926I,1926-1027-8127,1989-04-19 03:38:20,Jaipur,Rajasthan,15633.0,Retired,2024-08-03 00:38:25,VERIFIED,MEDIUM,True,True
USR96477,Tanveer Narula,SDAVW9214Z,0979-1404-5328,1972-07-15 16:27:00,Chennai,Tamil Nadu,14759.0,Retired,2026-01-27 00:00:00,REJECTED,LOW,True,True
USR18944,Mekhala Golla,UWTIE0098,8850-3677-7734,1991-07-25 08:59:00,Chennai,Tamil Nadu,26904.0,Farmer,,VERIFIED,LOW,False,True
USR38760,Lajita Dewan,IRKEM1603,6048-1234-3829,1962-09-08 00:00:00,Kolkata,West Bengal,9392.0,Salaried,2025-03-22 00:00:00,VERIFIED,LOW,False,True
USR35147,Krishna Deo,HWFFO1057B,5178-7018-1300,1973-11-24 00:00:00,Ldh,Punjab,50039.0,Salaried,2026-04-01 00:00:00,VERIFIED,HIGH,True,True
USR23153,Elijah Golla,RCL1Y8260J,XXXX-XXXX-4291,1997-05-23 00:00:00,Jalandhar,Punjab,25280.0,Salaried,2024-08-19 00:00:00,REJECTED,LOW,False,True
USR43985,Elijah Basu,OWYWO4172Z,XXXX-XXXX-4334,2001-11-29 04:05:00,Jaipur,Rajasthan,,Farmer,2025-08-19 00:00:00,VERIFIED,MEDIUM,True,True
USR13270,Gautam Joshi,KNUKD8690E,,1961-02-02 04:46:15,Poona,Maharashtra,17781.0,Self Employed,,VERIFIED,MEDIUM,True,False
USR87067,Ayaan Bhatt,IYPWZ2082B,0733-3678-9186,1997-06-03 23:09:00,Bengaluru,Karnataka,32300.0,Farmer,2024-12-14 08:31:34,VERIFIED,MEDIUM,True,True
USR14736,Harini Keer,SQFFV1099G,9008-4521-3060,1969-07-11 00:00:00,Mumbai,Maharashtra,29346.0,Retired,,VERIFIED,MEDIUM,True,True
USR26503,Ranbir Mannan,UCYSG5949W,4456-3567-3241,2006-02-08 00:00:00,Amritsar,Punjab,9785.0,Farmer,2025-07-25 13:14:02,PENDING,LOW,True,True
USR55516,Yutika Ravi,HCPGG8914B,9198-4043-5976,1973-06-03 17:15:44,Kolkata,West Bengal,37564.0,Unemployed,2024-10-30 00:00:00,PENDING,LOW,True,True
USR45907,Hardik Ramesh,GUXKU9088P,6253-9431-9187,1970-07-22 00:00:00,Delhi,Delhi,,Gig Worker,2025-08-16 00:00:00,VERIFIED,MEDIUM,True,True
USR20548,Wridesh Joshi,TZSQX5220Z,0317-4335-1796,2007-05-12 00:00:00,Mumbai,Maharashtra,31338.0,Student,2025-10-01 00:00:00,VERIFIED,LOW,True,True
USR37307,Balendra Verma,UOHEX6486E,XXXX-XXXX-5396,2001-07-17 07:20:05,Delhi,Delhi,37243.0,Unemployed,2025-07-28 00:00:00,VERIFIED,MEDIUM,True,True
USR63941,Lopa Shanker,TIVNP2437G,4749-3829-2882,1975-04-08 18:00:48,Jaipur,Rajasthan,18089.0,Student,2025-07-12 11:33:35,PENDING,MEDIUM,True,True
USR62335,0Rinder Tiwari,KVIYF7177S,XXXX-XXXX-5008,1967-11-21 19:55:24,Poona,Maharashtra,15492.0,Student,2024-08-07 00:00:00,VERIFIED,MEDIUM,True,True
USR82534,Ekalinga Deep,QMKMZ5656K,,1991-01-11 00:00:00,Bengaluru,Karnataka,22070.0,Student,2025-04-22 21:24:00,VERIFIED,LOW,True,False
USR28153,Janaki Korpal,AHFWQ6201Q,,1974-06-16 00:00:00,Mumbai,Maharashtra,11531.0,Freelancer,2025-01-16 11:19:05,VERIFIED,LOW,True,False
USR97134,Reva Vaidya,HBVQA7004Y,6537223345,1964-05-10 00:00:00,Ldh,Punjab,55126.0,Freelancer,2025-01-07 00:00:00,PENDING,MEDIUM,True,False
USR31953,Ekani Kar,KRJBG3843A,3169-4340-2972,2002-08-16 00:00:00,Jaipur,Rajasthan,,Unemployed,2024-08-05 22:11:10,VERIFIED,MEDIUM,True,True
USR18418,Vrishti Chaudry,QRINM1863X,1797-2382-4180,1987-01-08 00:00:00,Kolkata,West Bengal,56033.0,Student,2025-04-12 00:00:00,VERIFIED,HIGH,True,True
USR73856,Damini Atwal,0WYDK8338N,3904-1124-9547,1980-05-07 00:00:00,Chennai,Tamil Nadu,36100.0,Unemployed,2025-06-10 00:00:00,VERIFIED,MEDIUM,False,True
USR34047,Nirja Goyal,EDJFV6786Z,3542-8425-2681,1971-03-15 03:14:48,Chennai,Tamil Nadu,51334.0,Freelancer,2025-04-21 00:00:00,VERIFIED,HIGH,True,True
USR11358,Ria Sampath,CBDMJ0910P,7604-0343-2642,2003-10-11 00:00:00,Ludhiana,Punjab,103450.0,Business Owner,,VERIFIED,LOW,True,True
USR64107,Gauri Vora,YBWWC3453,8704-2992-8177,1970-06-30 00:00:00,Poona,Maharashtra,12867.0,Salaried,2025-01-23 02:49:00,VERIFIED,LOW,False,True
USR35594,Indira Ramachandran,EGAVG3762P,,1962-04-28 08:43:20,Chennai,Tamil Nadu,19286.0,Farmer,2024-08-19 00:00:00,VERIFIED,MEDIUM,True,False
USR30418,Akshay Sampath,WNKPD6528H,1319-0288-3486,1965-01-23 00:00:00,Lucknow,Uttar Pradesh,17322.0,Unemployed,2024-09-15 20:50:00,VERIFIED,LOW,True,True
USR54584,Chameli Dubey,CZJQV2137R,4247-0274-2867,2001-07-08 10:32:24,Mumbai,Maharashtra,22185.0,Self Employed,2024-09-01 00:00:00,VERIFIED,LOW,True,True
USR48110,Brinda Manda,RYYOT8872F,2826-3099-6872,1964-03-17 00:00:00,Amritsar,Punjab,21983.0,Business Owner,,VERIFIED,HIGH,True,True
USR95700,Deepa Bhalla,RTWID8017S,4748-0382-9105,1991-09-12 00:00:00,Amritsar,Punjab,33200.0,Business Owner,2025-06-08 08:22:00,VERIFIED,LOW,True,True
USR78337,Pranit Oza,NZBEB2190H,6181-5079-5338,1988-12-02 00:00:00,Lucknow,Uttar Pradesh,22457.0,Gig Worker,2024-07-24 00:00:00,VERIFIED,MEDIUM,True,True
USR55461,Unnatikeer,FQVDC8747O,3738-6877-4560,2001-11-25 00:00:00,Jalandhar,Punjab,28600.0,Business Owner,2025-07-10 00:00:00,REJECTED,LOW,True,True
USR99445,Krisha Seshadri,HFMYY3894Z,7695-5326-6511,2001-09-17 00:00:00,Delhi,Delhi,48549.0,Business Owner,2024-01-19 00:00:00,VERIFIED,MEDIUM,True,True
USR26939,Samuelmitter,KIWOV8722C,6330-0502-9504,1998-12-04 00:00:00,Amritsar,Punjab,24100.0,Retired,2026-06-02 00:00:00,VERIFIED,HIGH,True,True
USR65086,Shivansh Prasad,MRRMZ0743S,0984809036,1962-03-10 20:30:53,Ludhiana,Punjab,20739.0,Freelancer,2024-07-06 03:48:49,REJECTED,LOW,True,False
USR51330,Manya Bali,SKOUH9200Y,0199-5109-9623,1972-10-30 00:00:00,Pune,Maharashtra,30214.0,Student,2025-11-04 21:49:04,VERIFIED,LOW,True,True
USR34172,Faras Warrior,ZWOCQ9001I,0545-9818-7074,2001-10-05 15:54:00,Mumbay,Maharashtra,14529.0,Self Employed,2025-09-16 00:00:00,VERIFIED,MEDIUM,True,True
USR35378,Ishita Mane,LZRJS8644Y,,1981-01-26 18:18:29,Jalandhar,Punjab,,Retired,2025-01-01 00:00:00,VERIFIED,MEDIUM,True,False
