merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
MCH3559,Chokshi Inc,5812,Restaurants & Dining,Private Limited,Bengaluru,Karnataka,2024-12-23 00:00:00,XXXX5330,SUSPENDED,535.7
MCH3955,"Swamy, Dhingra And Sheth",5311,Department Stores,Individual,Chennai,Tamil Nadu,2024-11-25 00:00:00,,SUSPENDED,508.0
MCH3558,"Bhattacharyya, Mahal And Setty",4131,Transportation,Partnership,Jaipur,Rajasthan,2023-07-28 00:00:00,7325110455,ACTIVE,4448.97
MCH2879,"Pillay, Vora And Karnik",5812,Restaurants & Dining,Individual,Ldh,Punjab,2024-05-20 19:55:26,9486638654,ACTIVE,
MCH3340,Varty-Chokshi,5999,Miscellaneous Retail,Partnership,Chennai,Tamil Nadu,2023-04-07 03:02:50,,ACTIVE,311.76
MCH6403,"Sahni, Kapur And Ganesh",5699,Apparel & Clothing,Private Limited,Chennai,Tamil Nadu,2024-05-30 00:00:00,,ACTIVE,344.49
MCH3455,Singhal Llc,5311,Department Stores,Individual,Jalandhar,Punjab,2026-06-01 05:10:00,,ACTIVE,11222.95
MCH8578,Bhatt Llc,4131,Transportation,Sole Proprietorship,Poona,Maharashtra,2023-08-26 23:42:00,QYMF1422119480722,INACTIVE,2462.04
MCH4277,Chaudhry-Karpe,4131,Transportation,Private Limited,Ludhiana,Punjab,2023-11-09 07:01:01,,ACTIVE,3362.42
MCH8716,"Naik, Chada And Divan",5999,Miscellaneous Retail,Private Limited,Ldh,Punjab,2023-01-11 00:00:00,EDPS0799008597487,ACTIVE,225.43
MCH9697,Walla Ltd,4814,Telecommunication Services,Individual,Bengaluru,Karnataka,2025-07-21 00:00:00,,ACTIVE,1081.86
MCH1170,"Wali, Bala And Sanghvi",5311,Department Stores,Sole Proprietorship,Bengaluru,Karnataka,2023-01-04 15:30:00,,INACTIVE,1109.65
MCH8705,"Sahota, Kale And Patil",4131,Transportation,Private Limited,Delhi,Delhi,2024-11-10 00:00:00,XXXX9019,ACTIVE,1127.21
MCH6875,Buch Ltd,5912,Pharmacies & Healthcare,Individual,Lucknow,Uttar Pradesh,2023-02-07 00:00:00,,ACTIVE,2704.27
MCH5146,Wadhwa-Swamy,5311,Department Stores,Partnership,Jalandhar,Punjab,2023-05-11 00:00:00,,ACTIVE,
MCH7239,Tata-Hayer,7011,Hotels & Lodging,Individual,Chennai,Tamil Nadu,2025-06-09 00:00:00,MPZF9929757844428,ACTIVE,1929.61
MCH7925,Badami Group,7011,Hotels & Lodging,Sole Proprietorship,Hyderabad,Telangana,2023-07-01 00:00:00,IVGP0940394312057,ACTIVE,
MCH3625,Lall Inc,5699,Apparel & Clothing,Individual,Kolkata,West Bengal,2023-07-16 00:00:00,8363629876,INACTIVE,691.1
MCH6999,Srinivasan-Agate,5812,Restaurants & Dining,Partnership,Hyderabad,Telangana,2023-02-22 17:51:00,,ACTIVE,1015.19
MCH9868,"Bedi, Konda And Kant",5912,Pharmacies & Healthcare,Individual,Jaipur,Rajasthan,2023-02-01 06:58:00,XXXX9285,ACTIVE,444.97
MCH5356,"Solanki, Kala And Loke",4814,Telecommunication Services,Partnership,Hyderabad,Telangana,2023-03-01 00:00:00,TUAH3044152488223,ACTIVE,827.01
MCH3953,"Ray, Minhas And Yohannan",5411,Grocery Stores,Sole Proprietorship,Kolkata,West Bengal,2023-03-18 00:00:00,XXXX6303,ACTIVE,8126.93
MCH3697,Cherian Llc,7011,Hotels & Lodging,Individual,Chennai,Tamil Nadu,2023-04-11 13:30:00,,ACTIVE,2525.65
MCH6046,"Palla, Yadav And Bhatnagar",5999,Miscellaneous Retail,Individual,Bengaluru,Karnataka,2024-03-27 20:41:48,,ACTIVE,2396.76
MCH7759,"Sankaran, Patel And Narain",5699,Apparel & Clothing,Sole Proprietorship,Kolkata,West Bengal,2025-10-15 13:32:26,EADV1032511266518,ACTIVE,
MCH5657,Natt-Goel,5999,Miscellaneous Retail,Individual,Delhi,Delhi,,,ACTIVE,1355.0
MCH2432,Parmar-Parmer,4131,Transportation,Individual,Kolkata,West Bengal,,,ACTIVE,2557.63
MCH5705,Mukhopadhyay And Sons,5699,Apparel & Clothing,Sole Proprietorship,Jalandhar,Punjab,2025-02-25 00:00:00,,ACTIVE,716.31
MCH1358,"Chaudry, Baral And Modi",4131,Transportation,Individual,Ludhiana,Punjab,2025-07-06 00:00:00,3312553110,ACTIVE,2115.38
MCH7337,Nath-Narayan,5699,Apparel & Clothing,Individual,Hyderabad,Telangana,2024-07-28 00:00:00,,ACTIVE,3029.85
MCH9319,Ladinc,5699,Apparel & Clothing,Sole Proprietorship,Jalandhar,Punjab,2025-07-20 00:00:00,XXXX7774,ACTIVE,839.54
MCH5354,Khatri-De0,5942,Books & Stationery,Partnership,Jalandhar,Punjab,,WCZU4810286661084,ACTIVE,
MCH6329,Srinivas-Banerjee,5912,Pharmacies & Healthcare,Individual,Kolkata,West Bengal,2024-05-12 00:00:00,XXXX2718,ACTIVE,199.46
MCH3206,Ahuja-Din,5311,Department Stores,Sole Proprietorship,Hyderabad,Telangana,2026-01-11 13:50:54,XXXX4117,ACTIVE,1244.0
MCH5632,Tandon Ltd,5311,Department Stores,Sole Proprietorship,Bengaluru,Karnataka,2025-05-29 12:56:08,,ACTIVE,270.52
MCH8355,"Virk, Sarna And Sangha",5812,Restaurants & Dining,Individual,Mumbai,Maharashtra,2023-09-10 00:00:00,0702210119,ACTIVE,3279.0
MCH3281,Ranganathan And Sons,5311,Department Stores,Partnership,Kolkata,West Bengal,2024-03-01 00:00:00,XXXX9655,ACTIVE,649.49
MCH2978,Deshpande Llc,7011,Hotels & Lodging,Private Limited,Lucknow,Uttar Pradesh,2023-02-01 23:57:31,XXXX0228,ACTIVE,194.6
MCH3399,Rana-Talwar,5912,Pharmacies & Healthcare,Private Limited,Mumbai,Maharashtra,2024-03-30 09:48:22,6585786984,ACTIVE,575.9
MCH7219,Dhawan-Saha,7011,Hotels & Lodging,Individual,Delhi,Delhi,2026-01-06 00:00:00,HJFW5603026154965,INACTIVE,2354.94
MCH3757,Chokshi Plc,4814,Telecommunication Services,Private Limited,Jaipur,Rajasthan,2025-10-23 10:04:00,KUIQ2748561079701,ACTIVE,2492.69
MCH1214,Padmanabhan Gr0Up,4814,Telecommunication Services,Individual,Amritsar,Punjab,2025-08-24 00:00:00,,ACTIVE,362.46
MCH2249,Bahri-Nagarajan,7011,Hotels & Lodging,Sole Proprietorship,Ludhiana,Punjab,2024-11-17 00:00:00,0364290572,ACTIVE,590.8
MCH9098,Manda And Sons,5812,Restaurants & Dining,Partnership,Bengaluru,Karnataka,2024-03-03 16:14:27,XXXX2826,ACTIVE,870.0
MCH7932,Sethi Ltd,4814,Telecommunication Services,Private Limited,Bengaluru,Karnataka,2025-04-20 22:28:00,AUYT1495828220876,ACTIVE,4410.18
MCH1216,"Agarwal, Dave And Vala",7011,Hotels & Lodging,Sole Proprietorship,Chennai,Tamil Nadu,2024-10-18 00:00:00,,ACTIVE,2228.42
MCH3497,"Gokhale, Parmer And Contractor",4131,Transportation,Individual,Jalandhar,Punjab,2023-11-03 21:39:51,,ACTIVE,403.24
MCH8517,"Bandi, Bir And Buch",5912,Pharmacies & Healthcare,Individual,Delhi,Delhi,2025-05-12 00:00:00,XXXX8958,ACTIVE,2544.34
MCH3567,Kala Ltd,4814,Telecommunication Services,Sole Proprietorship,Amritsar,Punjab,2023-05-15 00:00:00,0120134197,ACTIVE,1794.62
MCH6890,Pandit-Narasimhan,7011,Hotels & Lodging,Private Limited,Kolkata,West Bengal,2024-04-21 00:00:00,XXXX8046,INACTIVE,525.87
MCH6632,"Om, Mall And Sandhu",4131,Transportation,Partnership,Lucknow,Uttar Pradesh,2023-07-28 00:00:00,XXXX3092,ON_HOLD,996.13
MCH7269,La11-Raman,4814,Telecommunication Services,Private Limited,Lucknow,Uttar Pradesh,2023-10-25 09:50:57,4846136502,ACTIVE,1031.92
MCH4180,Dave-Oza,5942,Books & Stationery,Sole Proprietorship,Delhi,Delhi,2024-01-08 00:00:00,,ACTIVE,394.99
MCH1492,"Panchal, Bail And Nadkarni",5912,Pharmacies & Healthcare,Sole Proprietorship,Jaipur,Rajasthan,2024-07-05 00:00:00,,ON_HOLD,6674.02
MCH5210,Natarajan Llc,4131,Transportation,Partnership,Lucknow,Uttar Pradesh,2023-08-25 00:00:00,,ACTIVE,2522.68
MCH6115,Padmanabhan-Chahal,5999,Miscellaneous Retail,Private Limited,Mumbai,Maharashtra,2024-01-03 00:00:00,XXXX5769,INACTIVE,266.65
MCH5950,Dey-Raj,5999,Miscellaneous Retail,Sole Proprietorship,Amritsar,Punjab,2025-11-29 00:00:00,0371217445,ACTIVE,3256.77
MCH3556,Andra-Nagar,5999,Miscellaneous Retail,Sole Proprietorship,Pune,Maharashtra,2025-05-04 18:43:19,,ACTIVE,1107.13
MCH4842,Pa11A Llc,5942,Books & Stationery,Individual,Kolkata,West Bengal,2024-12-19 00:00:00,XXXX0707,ACTIVE,3127.0
MCH6831,"Kothari, De And Arora",5999,Miscellaneous Retail,Individual,Kolkata,West Bengal,2025-11-17 16:43:00,FVLK6104664273261,SUSPENDED,
MCH2922,Chhabra-Jha,5999,Miscellaneous Retail,Sole Proprietorship,Mumbai,Maharashtra,2024-10-10 00:00:00,FAIS4263479017973,ACTIVE,1096.49
MCH8509,"Majumdar, Deshpande And Solanki",5311,Department Stores,Partnership,Bengaluru,Karnataka,2024-09-17 00:00:00,XXXX5135,INACTIVE,1098.85
MCH3604,"Shetty, Bali And Sama",5411,Grocery Stores,Partnership,Ludhiana,Punjab,2023-01-04 01:07:44,IQHJ3383226507557,ACTIVE,394.0
MCH9785,Nagarajan Plc,5699,Apparel & Clothing,Individual,Mumbai,Maharashtra,2025-06-08 00:00:00,,ACTIVE,2709.78
MCH1447,"Dara, Om And Chaudhry",5699,Apparel & Clothing,Private Limited,Bengaluru,Karnataka,2023-04-29 00:00:00,NJHB3866390601882,INACTIVE,373.0
MCH7659,"Pandya, Bakshi And Chaudhary",4131,Transportation,Private Limited,Chennai,Tamil Nadu,2023-04-16 18:19:00,FNTE9764699509957,ACTIVE,1564.19
MCH1600,"Warrior, Anand And Kata",5311,Department Stores,Individual,Chennai,Tamil Nadu,2025-07-10 00:00:00,DNAN6947992423478,ACTIVE,2937.03
MCH8561,Mahal-Talwar,5912,Pharmacies & Healthcare,Individual,Poona,Maharashtra,2024-11-21 00:00:00,XXXX1106,ACTIVE,892.64
MCH4029,Kuruvilla And Sons,5411,Grocery Stores,Private Limited,Pune,Maharashtra,,DGMS6783095939908,ACTIVE,55.43
MCH1392,Johal-Gaba,5912,Pharmacies & Healthcare,Private Limited,Pune,Maharashtra,2024-02-20 00:00:00,XXXX9354,INACTIVE,4352.7
MCH4985,Hayre And Sons,5942,Books & Stationery,Partnership,Lucknow,Uttar Pradesh,2023-08-01 00:00:00,PXAE0911368692866,ACTIVE,1981.89
MCH8808,"Kothari, Bansal And Gupta",5942,Books & Stationery,Individual,Bengaluru,Karnataka,2025-09-19 01:30:00,9868014892,ACTIVE,380.0
MCH7137,Krishna-Palan,4814,Telecommunication Services,Partnership,Ludhiana,Punjab,2025-09-29 00:00:00,GJTY8331565779502,ACTIVE,
MCH2813,"Sha, Bhatia And Vig",5311,Department Stores,Individual,Chennai,Tamil Nadu,2024-10-24 13:37:28,5399147177,ACTIVE,3821.16
MCH1375,Golla And Sons,5912,Pharmacies & Healthcare,Partnership,Bengaluru,Karnataka,2023-08-01 13:43:00,,ACTIVE,503.66
MCH2074,D’Alia Inc,5699,Apparel & Clothing,Partnership,Jaipur,Rajasthan,2025-10-22 19:54:55,VRCT7941741947399,ACTIVE,1616.2
MCH1256,Vala Inc,5912,Pharmacies & Healthcare,Sole Proprietorship,Kolkata,West Bengal,2025-01-17 00:00:00,,SUSPENDED,1415.24
MCH8440,"Chacko, Natarajan And Menon",5999,Miscellaneous Retail,Individual,Mumbai,Maharashtra,2025-01-19 00:00:00,,ACTIVE,775.41
MCH3060,Deep-Tata,5311,Department Stores,Individual,Amritsar,Punjab,2023-04-17 00:00:00,,ACTIVE,2601.81
MCH4025,Hegde-Sule,5311,Department Stores,Individual,Hyderabad,Telangana,,XXXX6804,INACTIVE,1108.29
MCH6970,Chopra-Loke,5311,Department Stores,Partnership,Jaipur,Rajasthan,2025-02-13 00:00:00,,ACTIVE,564.18
MCH2850,Reddy-Kara,4131,Transportation,Private Limited,Jaipur,Rajasthan,2024-04-22 00:00:00,XXXX7186,ACTIVE,953.86
MCH5117,"Parikh, Sengupta And Chander",7011,Hotels & Lodging,Partnership,Chennai,Tamil Nadu,2023-01-26 23:39:00,,SUSPENDED,266.62
MCH6651,"Mahajan, Vig And Balakrishnan",5411,Grocery Stores,Partnership,Delhi,Delhi,2023-02-17 00:00:00,ZZEW6214809734757,ACTIVE,1407.45
MCH6206,"Johal, Verma And Sane",5812,Restaurants & Dining,Private Limited,Jalandhar,Punjab,2024-04-26 14:53:55,,ACTIVE,765.75
MCH9755,"Mane, Dey And Nagy",7011,Hotels & Lodging,Individual,Lucknow,Uttar Pradesh,2023-09-05 00:00:00,,ACTIVE,2207.77
MCH3401,Chana Llc,5411,Grocery Stores,Individual,Chennai,Tamil Nadu,,XXXX4048,ACTIVE,3703.23
MCH7698,Sachdev And Sons,5812,Restaurants & Dining,Sole Proprietorship,Amritsar,Punjab,2023-07-23 00:00:00,,ACTIVE,
MCH2085,Loke Inc,7011,Hotels & Lodging,Individual,Hyderabad,Telangana,2023-05-12 00:00:00,CQUN5447672400868,SUSPENDED,
MCH1060,"Subramaniam, Rama And Contractor",4131,Transportation,Individual,Hyderabad,Telangana,2024-05-02 09:00:14,FXHY9362967598468,ACTIVE,480.0
MCH7876,"Deshpande, Nagar And Parsa",4814,Telecommunication Services,Individual,Jaipur,Rajasthan,2024-08-22 00:00:00,,ACTIVE,502.95
MCH9966,"Kara, Chanda And Hayre",4131,Transportation,Individual,Kolkata,West Bengal,2024-01-16 20:22:00,XXXX6108,ACTIVE,3566.37
MCH2710,"Ramanathan, Bandi And Edwin",5411,Grocery Stores,Sole Proprietorship,Delhi,Delhi,2024-11-07 00:00:00,9267399474,ACTIVE,5021.08
MCH2723,Purohit-Dani,5812,Restaurants & Dining,Individual,Amritsar,Punjab,2024-04-16 04:10:00,XXXX6527,ACTIVE,1384.67
MCH6084,Gera-Patla,4131,Transportation,Sole Proprietorship,Lucknow,Uttar Pradesh,2026-01-26 15:06:00,0059005491,ACTIVE,3360.46
MCH1457,Shetty Group,5999,Miscellaneous Retail,Individual,Jalandhar,Punjab,2025-11-07 00:00:00,7979475554,ACTIVE,1159.43
MCH7866,Bhattacharyya And Sons,5311,Department Stores,Partnership,Delhi,Delhi,2025-10-31 05:29:00,QKIU3712061004002,ACTIVE,2522.0
MCH9528,Kibe-Memon,5699,Apparel & Clothing,Sole Proprietorship,Delhi,Delhi,2025-07-12 00:00:00,XXXX9874,ACTIVE,5399.84
MCH3612,Vaidya-Arya,5311,Department Stores,Private Limited,Kolkata,West Bengal,2023-01-09 00:00:00,UOBK5661273202199,ACTIVE,695.7
MCH3971,Sura Plc,7011,Hotels & Lodging,Individual,Delhi,Delhi,2024-04-17 13:25:57,,ACTIVE,748.82
MCH6025,Rege-Bali,4131,Transportation,Individual,Bengaluru,Karnataka,2025-04-21 00:00:00,XXXX0320,INACTIVE,2516.42
MCH6507,Kadakia Plc,5812,Restaurants & Dining,Partnership,Chennai,Tamil Nadu,2023-05-01 00:00:00,XXXX3350,ACTIVE,740.55
MCH8031,Chokshi Ltd,7011,Hotels & Lodging,Individual,Hyderabad,Telangana,2025-07-26 00:00:00,3288481391,ACTIVE,2110.06
MCH8431,Bala Group,4131,Transportation,Individual,Ldh,Punjab,2025-05-02 00:00:00,XXXX7030,ACTIVE,964.23
MCH9718,Mammen And Sons,5411,Grocery Stores,Sole Proprietorship,Jalandhar,Punjab,2023-06-20 00:00:00,3331553891,ACTIVE,678.94
MCH3058,Patla-Padmanabhan,5942,Books & Stationery,Individual,Pune,Maharashtra,2024-10-18 00:00:00,OBXD4944464643223,ACTIVE,974.77
MCH8327,Men0N Ltd,5999,Miscellaneous Retail,Individual,Bengaluru,Karnataka,2023-06-18 18:05:34,,INACTIVE,1670.04
MCH9038,"Dara, Pai And Saxena",5699,Apparel & Clothing,Sole Proprietorship,Ldh,Punjab,2024-04-18 00:00:00,0739300438,ACTIVE,2740.86
MCH2412,Nadig Inc,5942,Books & Stationery,Individual,Hyderabad,Telangana,2024-12-08 07:03:51,XXXX9581,ACTIVE,144.12
MCH2904,Iyengar-Comar,5999,Miscellaneous Retail,Private Limited,Delhi,Delhi,2026-05-01 00:00:00,XXXX7160,ACTIVE,1147.91
MCH5405,Balan-Sabharwal,5812,Restaurants & Dining,Individual,Bengaluru,Karnataka,2023-04-07 06:56:55,,ACTIVE,2280.95
MCH1625,Handallc,5912,Pharmacies & Healthcare,Private Limited,Ludhiana,Punjab,2024-07-27 00:00:00,,INACTIVE,4123.17
MCH3926,Master-Sarin,5999,Miscellaneous Retail,Individual,Hyderabad,Telangana,2025-08-05 00:00:00,,ACTIVE,1913.5
MCH6979,Nadig Ltd,5912,Pharmacies & Healthcare,Sole Proprietorship,Chennai,Tamil Nadu,2023-05-18 00:42:04,SYHI9438066539953,INACTIVE,640.32
MCH1842,Bedi-Vohra,5411,Grocery Stores,Private Limited,Lucknow,Uttar Pradesh,,XXXX6666,ACTIVE,1241.96
MCH8130,"Kale, Kumer And Chand",5311,Department Stores,Partnership,Ludhiana,Punjab,2026-02-05 04:03:44,GYEV9276514828192,ACTIVE,419.61
MCH1571,"Rao, Viswanathan And Joshi",4131,Transportation,Sole Proprietorship,Chennai,Tamil Nadu,2023-08-03 04:40:51,,ACTIVE,866.2
MCH9626,Gu1Ati-Chhabra,4814,Telecommunication Services,Partnership,Lucknow,Uttar Pradesh,2025-02-21 13:12:50,,ACTIVE,880.0
MCH2099,"Tara, Date And Thakur",4131,Transportation,Sole Proprietorship,Chennai,Tamil Nadu,2023-06-28 00:00:00,BFBY2666613604973,ACTIVE,1054.15
MCH1841,Kadakia-Rao,7011,Hotels & Lodging,Sole Proprietorship,Kolkata,West Bengal,2025-07-01 00:00:00,7706295964,ACTIVE,532.17
MCH7901,Bala Group,5812,Restaurants & Dining,Partnership,Jaipur,Rajasthan,2023-03-02 12:07:59,VXJE9106968913579,ACTIVE,
MCH8607,"Wali,Maneandthakur",5699,Apparel & Clothing,Individual,Delhi,Delhi,2023-10-15 00:00:00,XXXX4911,ACTIVE,2981.0
